description height weight length ferocity intelligence
TRex 50 6 12 9 9
Stegosaurus 50 3 8 1 8
Brachiosaurus 12 8 16 2 6
Velociraptor 50 5 5 12 10
Carnotaurus 5 6 7 9 8
Iguanodon 50 2 3 1 9
Megalosaurus 9 9 8 6 9
Oviraptor 15 7 4 3 2
Parasaurolophus 7 7 1 3 4
Ornithomimus 50 9 8 7 5
Protoceratops 9 5 4 7 10
Riojasaurus 35 1 4 7 7
Saurolophus 50 1 10 7 8
Styracosaurus 7 3 4 1 1
Xiaosaurus 50 6 5 7 2
Kentrosaurus 35 18 49 45 39
Aepydon 50 10 11 36 27
Cyclodromeus 50 46 13 22 11
Styracopelix 10 3 34 46 35
Camptopelta 50 21 48 30 42
Aepydonbator 38 20 37 34 49
Aviplomoloch 50 16 6 45 44
Lurdupodosaurus 45 43 16 48 50
Thescelochelomimus 39 5 6 28 24
Thecocercorex 50 40 45 35 3
Tyrannovenator 26 10 38 9 39
Agilinychus 28 40 5 48 10
Macrosuchus 28 14 5 38 15
Archaeosaurus 50 20 9 33 14
Hadrospondylus 50 10 1 11 3
Haplocephalolestes 14 3 37 42 43
Rugoscephalovenator 40 35 33 48 44
Nanorhinogryphus 50 20 35 37 10
Plateocercodromeus 15 4 46 16 24
Therizinopodogryphus 19 36 1 31 47
Brachiolodon 50 1 32 15 41
Megalodon 50 23 13 24 3
Rugospelix 50 45 11 31 25
Chlorodon 50 37 18 11 32
Lophopteryx 50 20 27 49 13
